ID,RA,DEC,J,JK,survey
08505621+1128316,132.734249,11.47546,14.299,0.5350000000000001,2MASS
08504867+1127432,132.702801,11.462005,16.942999999999998,1.0219999999999985,2MASS
08510390+1127511,132.766275,11.4642,16.669,1.3520000000000003,2MASS
08510306+1129586,132.762776,11.499617,16.826,1.2200000000000006,2MASS
08510703+1126568,132.779292,11.449133,16.766,0.6679999999999993,2MASS
08510014+1126424,132.750624,11.445133,15.935,0.6890000000000018,2MASS
08510143+1127217,132.755966,11.45603,16.791,0.8740000000000006,2MASS
08510299+1129422,132.76249199999998,11.495078,14.112,0.4670000000000005,2MASS
08510532+1127061,132.772168,11.451704,16.176,0.965,2MASS
08511492+1127580,132.812182,11.46613,16.675,1.0070000000000014,2MASS
08510824+1126272,132.784369,11.440904,12.52,0.5399999999999991,2MASS
08510882+1128384,132.786751,11.477356,15.85,0.2449999999999992,2MASS
08511194+1129399,132.799751,11.49443,16.963,1.393000000000001,2MASS
08511396+1126207,132.808187,11.439104,14.637,0.5179999999999989,2MASS
08511375+1128488,132.807332,11.480224,15.408,1.077,2MASS
08511177+1129126,132.799057,11.486846,13.682,0.4040000000000017,2MASS
08510971+1129444,132.790498,11.495688,16.168,1.0,2MASS
08511117+1126349,132.796579,11.443047,12.786,0.3669999999999991,2MASS
08510394+1126553,132.76643700000002,11.448711,15.537,0.6620000000000008,2MASS
08510422+1127591,132.767597,11.466419,17.119,1.3789999999999996,2MASS
08512709+1127076,132.862882,11.452137,15.869000000000002,0.8680000000000021,2MASS
08512800+1126422,132.866673,11.445079,15.765,0.8390000000000022,2MASS
08512359+1129201,132.848318,11.488922,16.155,0.679000000000002,2MASS
08511805+1126290,132.82521699999998,11.441415,12.167,0.3249999999999993,2MASS
08511515+1126426,132.813129,11.44519,12.084,0.35900000000000176,2MASS
08511908+1126241,132.829507,11.440043,13.331,0.4819999999999993,2MASS
08512578+1129045,132.857444,11.484594,16.506,0.8909999999999999,2MASS
08512057+1127446,132.835715,11.462398,11.517,0.5329999999999995,2MASS
08511716+1128330,132.82153200000002,11.47584,14.462,0.6729999999999983,2MASS
08511822+1127360,132.825951,11.460015,16.489,0.9399999999999996,2MASS
08512952+1127177,132.873032,11.454944,15.826,0.8789999999999978,2MASS
08511588+1127245,132.816181,11.456816,13.149,0.6030000000000015,2MASS
08511542+1127177,132.814291,11.454919,15.72,0.8609999999999989,2MASS
08511651+1129232,132.818825,11.489788,15.704,0.4719999999999995,2MASS
08512289+1127456,132.845402,11.462667,16.402,0.8670000000000009,2MASS
08511650+1127350,132.81878,11.459743,15.364,0.8380000000000011,2MASS
08512651+1129304,132.860475,11.491788,16.392,0.5990000000000002,2MASS
08513511+1126311,132.896311,11.441997,14.964,1.0020000000000011,2MASS
08513310+1126280,132.887931,11.441115,13.657,0.5020000000000007,2MASS
08513335+1129480,132.888972,11.496692,15.732,0.7070000000000007,2MASS
08513796+1129105,132.908203,11.48626,16.77,1.365999999999998,2MASS
08513008+1127316,132.875371,11.458783,13.392,0.4530000000000012,2MASS
08513143+1128301,132.880991,11.475043,14.864,0.4360000000000017,2MASS
08513282+1126382,132.886786,11.443951,13.755,0.8079999999999998,2MASS
08513040+1129160,132.876671,11.487788,15.825,1.019,2MASS
08515618+1128404,132.984088,11.477908,15.681,0.9059999999999988,2MASS
08514948+1128180,132.956204,11.471667,15.705,0.5559999999999992,2MASS
08514855+1127371,132.952293,11.460326,15.094,0.8849999999999998,2MASS
08515919+1127501,132.996658,11.463938,15.536,0.4589999999999996,2MASS
08515491+1129302,132.978814,11.491743,13.518,0.8650000000000002,2MASS
08515393+1127477,132.974725,11.463252,16.447,1.0459999999999994,2MASS
08515287+1129567,132.97033100000002,11.499095,12.12,0.3179999999999996,2MASS
08515086+1128244,132.961953,11.473468,15.614,0.7990000000000013,2MASS
08515221+1126587,132.967582,11.449659,16.377,0.2029999999999994,2MASS
08515094+1128486,132.962274,11.480171,10.388,0.4000000000000004,2MASS
08515679+1127341,132.98666,11.459477,16.578,0.5950000000000006,2MASS
08515879+1129189,132.994979,11.488585,15.771,0.5479999999999999,2MASS
08520105+1128566,133.004416,11.482416,16.529,0.9730000000000008,2MASS
08520287+1128044,133.011987,11.467907,15.223,0.7979999999999983,2MASS
08520906+1128016,133.03776000000002,11.467114,12.119000000000002,0.28000000000000114,2MASS
08521031+1129352,133.042978,11.493125,15.835,0.9659999999999992,2MASS
08520562+1129089,133.023423,11.485818,16.774,-0.33999999999999986,2MASS
08520058+1127290,133.002455,11.458063,14.884,0.2140000000000004,2MASS
08520344+1127358,133.01433400000002,11.459959,16.365,1.144,2MASS
08520842+1127076,133.035089,11.452121,16.167,0.8730000000000011,2MASS
08521236+1129325,133.05151899999998,11.492375,16.494,0.9139999999999996,2MASS
08521355+1128096,133.056477,11.469352,13.949000000000002,0.4380000000000024,2MASS
08522162+1128381,133.090119,11.47725,16.895,-0.4000000000000021,2MASS
08521601+1129010,133.066749,11.483626,16.349,0.7180000000000017,2MASS
08495742+1133422,132.48929099999998,11.561731,16.832,0.6010000000000026,2MASS
08501030+1130058,132.542951,11.501632,15.813,0.5059999999999985,2MASS
08501310+1133091,132.554591,11.552542,14.076,0.343,2MASS
08501319+1130053,132.554979,11.501478,16.385,0.8210000000000015,2MASS
08501171+1132251,132.548827,11.540309,12.883,0.5419999999999998,2MASS
08501183+1130315,132.5493,11.508754,16.83,1.325999999999997,2MASS
08501354+1133139,132.556433,11.553869,15.075,0.5559999999999992,2MASS
